% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Normal mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:36:48 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4873750848e+00, 1.0914960161e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4871798656e+00, 1.0935293153e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4869846464e+00, 1.0912506180e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4867894272e+00, 1.0955275576e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4865942080e+00, 1.0904092528e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4863989888e+00, 1.0894977739e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4862037696e+00, 1.0913557886e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4860085504e+00, 1.0951769887e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4858133312e+00, 1.0944057373e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4856181120e+00, 1.0907948785e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4854228928e+00, 1.0941252823e-03, -3.3444265277e-05, -2.5062865966e-03
-1.4852276736e+00, 1.0968246622e-03, -3.3444265277e-05, -2.5217116247e-03
-1.4850324544e+00, 1.0925477226e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4848372352e+00, 1.0915661299e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4846420160e+00, 1.0927230070e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4844467968e+00, 1.0923373813e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4842515776e+00, 1.0924074951e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4840563584e+00, 1.0944407942e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4838611392e+00, 1.0919868125e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4836659200e+00, 1.0970700604e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4834707008e+00, 1.0930034621e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4832754816e+00, 1.0946511355e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4830802624e+00, 1.0933890878e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4828850432e+00, 1.0930385189e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4826898240e+00, 1.0907598216e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4824946048e+00, 1.0939149410e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4822993856e+00, 1.0938448272e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4821041664e+00, 1.0958080126e-03, -2.4049020944e-05, -2.5396958050e-03
-1.4819089472e+00, 1.0912856749e-03, -4.8378496942e-06, -2.5396958050e-03
-1.4817137280e+00, 1.0912856749e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4815185088e+00, 1.0929333483e-03, -3.3444265277e-05, -2.5396958050e-03
-1.4813232896e+00, 1.0931436896e-03, -3.3444265277e-05, -2.5704757473e-03
-1.4811280704e+00, 1.0944758511e-03, -1.9737024477e-05, -2.5731050134e-03
-1.4809328512e+00, 1.0947913630e-03, 0.0000000000e+00, -2.5731050134e-03
-1.4807376320e+00, 1.0920919831e-03, -2.7765050419e-05, -2.5731050134e-03
-1.4805424128e+00, 1.0927580639e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4803471936e+00, 1.0944407942e-03, -3.3444265277e-05, -2.5731050134e-03
