% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4873750848e+00, 1.4264084311e-02, 1.8310209386e-04, 5.5137814330e-03
-1.4871798656e+00, 1.4258790722e-02, 2.9097211929e-05, 5.5137814330e-03
-1.4869846464e+00, 1.4256967764e-02, -1.9947365768e-05, 5.5137814330e-03
-1.4867894272e+00, 1.4257178106e-02, 1.0201552616e-04, 5.5137814330e-03
-1.4865942080e+00, 1.4257178106e-02, 2.2513529519e-04, 5.5137814330e-03
-1.4863989888e+00, 1.4259877486e-02, 1.9414501164e-04, 5.5137814330e-03
-1.4862037696e+00, 1.4255705717e-02, 4.1437234337e-05, 5.5137814330e-03
-1.4860085504e+00, 1.4251113265e-02, -2.8571358701e-05, 5.5137814330e-03
-1.4858133312e+00, 1.4255635603e-02, 7.3689565632e-05, 5.5137814330e-03
-1.4856181120e+00, 1.4255810887e-02, 2.1244470396e-04, 5.5137814330e-03
-1.4854228928e+00, 1.4257283276e-02, 2.0354025597e-04, 5.5137814330e-03
-1.4852276736e+00, 1.4255986172e-02, 5.7773741275e-05, 5.5137814330e-03
-1.4850324544e+00, 1.4246871382e-02, -3.2988525813e-05, 5.5137814330e-03
-1.4848372352e+00, 1.4250201786e-02, 4.9184805224e-05, 5.5137814330e-03
-1.4846420160e+00, 1.4251709232e-02, 1.9712484660e-04, 5.5137814330e-03
-1.4844467968e+00, 1.4252866109e-02, 2.1353146730e-04, 5.5137814330e-03
-1.4842515776e+00, 1.4257984414e-02, 7.7265367580e-05, 5.5137814330e-03
-1.4840563584e+00, 1.4252936223e-02, -2.8536301819e-05, 5.5137814330e-03
-1.4838611392e+00, 1.4254022986e-02, 2.9132268811e-05, 5.5137814330e-03
-1.4836659200e+00, 1.4253181621e-02, 1.8334749203e-04, 5.5137814330e-03
-1.4834707008e+00, 1.4259456803e-02, 2.2453932820e-04, 5.5137814330e-03
-1.4832754816e+00, 1.4259456803e-02, 1.0254137939e-04, 5.5137814330e-03
-1.4830802624e+00, 1.4258229812e-02, -2.1595039215e-05, 5.5137814330e-03
-1.4828850432e+00, 1.4260648737e-02, 1.4127923382e-05, 5.5137814330e-03
-1.4826898240e+00, 1.4263593515e-02, 1.6827303284e-04, 5.5137814330e-03
-1.4824946048e+00, 1.4267695170e-02, 2.3018348617e-04, 5.5137814330e-03
-1.4822993856e+00, 1.4266818748e-02, 1.2848347195e-04, 5.5137814330e-03
-1.4821041664e+00, 1.4259491860e-02, -1.0902690253e-05, 5.5137814330e-03
-1.4819089472e+00, 1.4266503236e-02, 1.0166495734e-06, 5.5137814330e-03
-1.4817137280e+00, 1.4262436638e-02, 1.4804521202e-04, 5.5137814330e-03
-1.4815185088e+00, 1.4263242946e-02, 2.3389951565e-04, 5.5137814330e-03
-1.4813232896e+00, 1.4257668902e-02, 1.5060436439e-04, 5.5137814330e-03
-1.4811280704e+00, 1.4255039636e-02, 3.0499487202e-06, 5.5137814330e-03
-1.4809328512e+00, 1.4251498891e-02, -1.0797519607e-05, 5.5137814330e-03
-1.4807376320e+00, 1.4259702201e-02, 1.2816796001e-04, 5.5137814330e-03
-1.4805424128e+00, 1.4255670660e-02, 2.3032371370e-04, 5.5137814330e-03
-1.4803471936e+00, 1.4258895893e-02, 1.7188389167e-04, 5.5137814330e-03
-1.4801519744e+00, 1.4256687309e-02, 1.8369806085e-05, 5.5137814330e-03
-1.4799567552e+00, 1.4252445427e-02, -2.0262877705e-05, 5.5137814330e-03
-1.4797615360e+00, 1.4264715335e-02, 1.0467984918e-04, 5.5137814330e-03
-1.4795663168e+00, 1.4259737258e-02, 2.2555597777e-04, 5.5137814330e-03
-1.4793710976e+00, 1.4263944084e-02, 1.8965773076e-04, 5.5137814330e-03
-1.4791758784e+00, 1.4257213163e-02, 3.5898247006e-05, 5.5137814330e-03
-1.4789806592e+00, 1.4254829295e-02, -2.6923685255e-05, 5.5137814330e-03
-1.4787854400e+00, 1.4254759181e-02, 8.1577364046e-05, 5.5137814330e-03
-1.4785902208e+00, 1.4252164972e-02, 2.1630096096e-04, 5.5137814330e-03
-1.4783950016e+00, 1.4250552355e-02, 2.0308451651e-04, 5.5137814330e-03
-1.4781997824e+00, 1.4252235085e-02, 5.6897319229e-05, 5.5137814330e-03
-1.4780045632e+00, 1.4245293823e-02, -3.0709828494e-05, 5.5137814330e-03
-1.4778093440e+00, 1.4248554113e-02, 5.9807040422e-05, 5.5137814330e-03
-1.4776141248e+00, 1.4248554113e-02, 2.0508275878e-04, 5.5137814330e-03
-1.4774189056e+00, 1.4252410370e-02, 2.1433777558e-04, 5.5137814330e-03
-1.4772236864e+00, 1.4255320091e-02, 7.6669400588e-05, 5.5137814330e-03
-1.4770284672e+00, 1.4248694340e-02, -2.8150676119e-05, 5.5137814330e-03
-1.4768332480e+00, 1.4251779346e-02, 3.7475806689e-05, 5.5137814330e-03
-1.4766380288e+00, 1.4259246462e-02, 1.9060426657e-04, 5.5137814330e-03
-1.4764428096e+00, 1.4259316575e-02, 2.2306693916e-04, 5.5137814330e-03
-1.4762475904e+00, 1.4259106234e-02, 9.8650065503e-05, 5.5137814330e-03
-1.4760523712e+00, 1.4255775830e-02, -2.3628338361e-05, 5.5137814330e-03
-1.4758571520e+00, 1.4257458561e-02, 1.8439919849e-05, 5.5137814330e-03
-1.4756619328e+00, 1.4258124641e-02, 1.7219940361e-04, 5.5137814330e-03
-1.4754667136e+00, 1.4256441911e-02, 2.2867604025e-04, 5.5137814330e-03
-1.4752714944e+00, 1.4263488344e-02, 1.2150715246e-04, 5.5137814330e-03
